seed:	1473448196
estimate sigma_zx
0.0016148	sigma_z=0.00729209	sigma_x=0.0200923
estimate z
sweep	38/40:	327867
sweep	39/40:	327870
sample	0/40:	327877
sample	1/40:	327872
sample	2/40:	327872
sample	3/40:	327874
sample	4/40:	327878
sample	5/40:	327872
sample	6/40:	327872
sample	7/40:	327879
sample	8/40:	327890
sample	9/40:	327894
sample	10/40:	327889
sample	11/40:	327891
sample	12/40:	327893
sample	13/40:	327888
sample	14/40:	327888
sample	15/40:	327888
sample	16/40:	327881
sample	17/40:	327887
sample	18/40:	327881
sample	19/40:	327893
sample	20/40:	327888
sample	21/40:	327881
sample	22/40:	327890
sample	23/40:	327890
sample	24/40:	327873
sample	25/40:	327876
sample	26/40:	327879
sample	27/40:	327877
sample	28/40:	327889
sample	29/40:	327888
sample	30/40:	327885
sample	31/40:	327885
sample	32/40:	327891
sample	33/40:	327885
sample	34/40:	327890
sample	35/40:	327882
sample	36/40:	327894
sample	37/40:	327887
sample	38/40:	327883
sample	39/40:	327887
estimate dsigma_up
d1=1.1	sigma1=0.691831
estimate sigma_down
d0=1	sigma0=0.144544
estimate sigma_zx
0.00160679	sigma_z=0.00731412	sigma_x=0.0201374
estimate z
sweep	0/40:	666071
sweep	1/40:	666073
sweep	2/40:	666066
sweep	3/40:	666190
sweep	4/40:	666192
sweep	5/40:	666178
sweep	6/40:	666195
sweep	7/40:	666179
sweep	8/40:	666194
sweep	9/40:	666191
sweep	10/40:	666195
sweep	11/40:	666190
sweep	12/40:	666327
sweep	13/40:	666326
sweep	14/40:	666326
sweep	15/40:	666334
sweep	16/40:	666333
sweep	17/40:	666328
sweep	18/40:	666337
sweep	19/40:	666336
sweep	20/40:	666327
sweep	21/40:	666331
sweep	22/40:	666326
sweep	23/40:	666388
sweep	24/40:	666385
sweep	25/40:	666385
sweep	26/40:	666386
sweep	27/40:	666394
sweep	28/40:	666386
sweep	29/40:	666382
sweep	30/40:	666384
sweep	31/40:	666384
sweep	32/40:	666386
sweep	33/40:	666388
sweep	34/40:	666418
sweep	35/40:	666420
sweep	36/40:	666423
sweep	37/40:	666421
sweep	38/40:	666424
sweep	39/40:	666416
sample	0/40:	666424
sample	1/40:	666421
sample	2/40:	666421
sample	3/40:	666425
sample	4/40:	666420
sample	5/40:	666416
sample	6/40:	666416
sample	7/40:	666424
sample	8/40:	666421
sample	9/40:	666499
sample	10/40:	666501
sample	11/40:	666504
sample	12/40:	666501
sample	13/40:	666504
sample	14/40:	666505
sample	15/40:	666493
sample	16/40:	666503
sample	17/40:	666502
sample	18/40:	666505
sample	19/40:	666498
sample	20/40:	666497
sample	21/40:	666499
sample	22/40:	666502
sample	23/40:	666498
sample	24/40:	666497
sample	25/40:	666495
sample	26/40:	666503
sample	27/40:	666504
sample	28/40:	666500
sample	29/40:	666493
sample	30/40:	666500
sample	31/40:	666494
sample	32/40:	666504
sample	33/40:	666507
sample	34/40:	666499
sample	35/40:	666593
sample	36/40:	666598
sample	37/40:	666588
sample	38/40:	666595
sample	39/40:	666596
estimate dsigma_up
d1=1.1	sigma1=0.363078
estimate sigma_down
d0=1	sigma0=0.0912011
estimate sigma_zx
0.00658562	sigma_z=0.0296389	sigma_x=0.00158114
estimate z
sweep	0/40:	327870
sweep	1/40:	327895
sweep	2/40:	327883
sweep	3/40:	327893
sweep	4/40:	327913
sweep	5/40:	327905
sweep	6/40:	327905
sweep	7/40:	327904
sweep	8/40:	327907
sweep	9/40:	327932
sweep	10/40:	327940
sweep	11/40:	327941
sweep	12/40:	327933
sweep	13/40:	327938
sweep	14/40:	327934
sweep	15/40:	327933
sweep	16/40:	327932
sweep	17/40:	327928
sweep	18/40:	327937
sweep	19/40:	327932
sweep	20/40:	327929
sweep	21/40:	327927
sweep	22/40:	327933
sweep	23/40:	327927
sweep	24/40:	327938
sweep	25/40:	327938
sweep	26/40:	327938
sweep	27/40:	327933
sweep	28/40:	327932
sweep	29/40:	327935
sweep	30/40:	327940
sweep	31/40:	327931
sweep	32/40:	327936
sweep	33/40:	327928
sweep	34/40:	327932
sweep	35/40:	327939
sweep	36/40:	327935
sweep	37/40:	327929
sweep	38/40:	327929
sweep	39/40:	327936
sample	0/40:	327934
sample	1/40:	327940
sample	2/40:	327949
sample	3/40:	327949
sample	4/40:	327944
sample	5/40:	327953
sample	6/40:	327945
sample	7/40:	327947
sample	8/40:	327948
sample	9/40:	327948
sample	10/40:	327947
sample	11/40:	327943
sample	12/40:	327943
sample	13/40:	327940
sample	14/40:	327956
sample	15/40:	327947
sample	16/40:	327942
sample	17/40:	327947
sample	18/40:	327946
sample	19/40:	327941
sample	20/40:	327949
sample	21/40:	327942
sample	22/40:	327949
sample	23/40:	327941
sample	24/40:	327946
sample	25/40:	327948
sample	26/40:	327949
sample	27/40:	327945
sample	28/40:	327949
sample	29/40:	327952
sample	30/40:	327950
sample	31/40:	327945
sample	32/40:	327947
sample	33/40:	327943
sample	34/40:	327946
sample	35/40:	327952
sample	36/40:	327941
sample	37/40:	327937
sample	38/40:	327947
sample	39/40:	327944
estimate dsigma_up
d1=1.1	sigma1=0.691831
estimate sigma_down
d0=1	sigma0=0.120226
estimate sigma_zx
0.00290777	sigma_z=0.0109443	sigma_x=0.0274663
estimate z
sweep	0/40:	579793
sweep	1/40:	579794
sweep	2/40:	579791
sweep	3/40:	579790
sweep	4/40:	579778
sweep	5/40:	579792
sweep	6/40:	579798
sweep	7/40:	579794
sweep	8/40:	579799
sweep	9/40:	579799
sweep	10/40:	579804
sweep	11/40:	579801
sweep	12/40:	579805
sweep	13/40:	579812
sweep	14/40:	579803
sweep	15/40:	579805
sweep	16/40:	579808
sweep	17/40:	579804
sweep	18/40:	579797
sweep	19/40:	579794
sweep	20/40:	579804
sweep	21/40:	579804
sweep	22/40:	579808
sweep	23/40:	579805
sweep	24/40:	579802
sweep	25/40:	579803
sweep	26/40:	579808
sweep	27/40:	579805
sweep	28/40:	579808
sweep	29/40:	579808
sweep	30/40:	579807
sweep	31/40:	579802
sweep	32/40:	579804
sweep	33/40:	579806
sweep	34/40:	579807
sweep	35/40:	579803
sweep	36/40:	579802
sweep	37/40:	579797
sweep	38/40:	579803
sweep	39/40:	579807
sample	0/40:	579804
sample	1/40:	579804
sample	2/40:	579805
sample	3/40:	579803
sample	4/40:	579806
sample	5/40:	579806
sample	6/40:	579803
sample	7/40:	579801
sample	8/40:	579803
sample	9/40:	579804
sample	10/40:	579806
sample	11/40:	579804
sample	12/40:	579806
sample	13/40:	579807
sample	14/40:	579804
sample	15/40:	579803
sample	16/40:	579797
sample	17/40:	579806
sample	18/40:	579801
sample	19/40:	579802
sample	20/40:	579803
sample	21/40:	579804
sample	22/40:	579803
sample	23/40:	579799
sample	24/40:	579803
sample	25/40:	579795
sample	26/40:	579786
sample	27/40:	579794
sample	28/40:	579803
sample	29/40:	579804
sample	30/40:	579796
sample	31/40:	579793
sample	32/40:	579798
sample	33/40:	579810
sample	34/40:	579799
sample	35/40:	579802
sample	36/40:	579797
sample	37/40:	579805
sample	38/40:	579798
sample	39/40:	579807
estimate dsigma_up
d1=1.1	sigma1=0.436516
estimate sigma_down
d0=1	sigma0=0.1
estimate sigma_zx
-0.00443258	sigma_z=0.0209522	sigma_x=0.0275878
estimate z
